,Area,Category,Fuel Type,Year,Energy Generation (GWH)
0,All,non-renewable ,Black coal,1989-90,87573
1,All,non-renewable ,Brown coal,1989-90,33594
2,All,non-renewable ,Natural gas,1989-90,14359
3,All,non-renewable ,Oil products,1989-90,3552
5,All,renewable,"Bagasse, wood",1989-90,750
8,All,renewable,Hydro,1989-90,14880
96,All,non-renewable ,Black coal,1990-91,89511
97,All,non-renewable ,Brown coal,1990-91,36048
98,All,non-renewable ,Natural gas,1990-91,10772
99,All,non-renewable ,Oil products,1990-91,3396
101,All,renewable,"Bagasse, wood",1990-91,769
104,All,renewable,Hydro,1990-91,16103
192,All,non-renewable ,Black coal,1991-92,94325
193,All,non-renewable ,Brown coal,1991-92,34559
194,All,non-renewable ,Natural gas,1991-92,11633
195,All,non-renewable ,Oil products,1991-92,2362
197,All,renewable,"Bagasse, wood",1991-92,670
200,All,renewable,Hydro,1991-92,15768
202,All,renewable,Small-scale solar PV,1991-92,11
288,All,non-renewable ,Black coal,1992-93,97873
289,All,non-renewable ,Brown coal,1992-93,33248
290,All,non-renewable ,Natural gas,1992-93,12295
291,All,non-renewable ,Oil products,1992-93,2421
293,All,renewable,"Bagasse, wood",1992-93,670
296,All,renewable,Hydro,1992-93,16953
298,All,renewable,Small-scale solar PV,1992-93,13
384,All,non-renewable ,Black coal,1993-94,100544
385,All,non-renewable ,Brown coal,1993-94,34890
386,All,non-renewable ,Natural gas,1993-94,12199
387,All,non-renewable ,Oil products,1993-94,2320
389,All,renewable,"Bagasse, wood",1993-94,670
391,All,renewable,Wind,1993-94,4
392,All,renewable,Hydro,1993-94,16649
394,All,renewable,Small-scale solar PV,1993-94,16
480,All,non-renewable ,Black coal,1994-95,102522
481,All,non-renewable ,Brown coal,1994-95,35832
482,All,non-renewable ,Natural gas,1994-95,14913
483,All,non-renewable ,Oil products,1994-95,2738
485,All,renewable,"Bagasse, wood",1994-95,670
486,All,renewable,Biogas,1994-95,53
487,All,renewable,Wind,1994-95,7
488,All,renewable,Hydro,1994-95,16239
490,All,renewable,Small-scale solar PV,1994-95,19
576,All,non-renewable ,Black coal,1995-96,106090
577,All,non-renewable ,Brown coal,1995-96,39427
578,All,non-renewable ,Natural gas,1995-96,12445
579,All,non-renewable ,Oil products,1995-96,2805
581,All,renewable,"Bagasse, wood",1995-96,670
582,All,renewable,Biogas,1995-96,258
583,All,renewable,Wind,1995-96,7
584,All,renewable,Hydro,1995-96,15731
586,All,renewable,Small-scale solar PV,1995-96,23
672,All,non-renewable ,Black coal,1996-97,109452
673,All,non-renewable ,Brown coal,1996-97,41893
674,All,non-renewable ,Natural gas,1996-97,11426
675,All,non-renewable ,Oil products,1996-97,2175
677,All,renewable,"Bagasse, wood",1996-97,670
678,All,renewable,Biogas,1996-97,295
679,All,renewable,Wind,1996-97,7
680,All,renewable,Hydro,1996-97,16852
682,All,renewable,Small-scale solar PV,1996-97,28
768,All,non-renewable ,Black coal,1997-98,116970
769,All,non-renewable ,Brown coal,1997-98,46633
770,All,non-renewable ,Natural gas,1997-98,12934
771,All,non-renewable ,Oil products,1997-98,1821
773,All,renewable,"Bagasse, wood",1997-98,670
774,All,renewable,Biogas,1997-98,359
775,All,renewable,Wind,1997-98,8
776,All,renewable,Hydro,1997-98,15733
778,All,renewable,Small-scale solar PV,1997-98,34
864,All,non-renewable ,Black coal,1998-99,118586
865,All,non-renewable ,Brown coal,1998-99,49703
866,All,non-renewable ,Natural gas,1998-99,16001
867,All,non-renewable ,Oil products,1998-99,1729
869,All,renewable,"Bagasse, wood",1998-99,674
870,All,renewable,Biogas,1998-99,459
871,All,renewable,Wind,1998-99,28
872,All,renewable,Hydro,1998-99,16563
874,All,renewable,Small-scale solar PV,1998-99,38
960,All,non-renewable ,Black coal,1999-00,123834
961,All,non-renewable ,Brown coal,1999-00,50200
962,All,non-renewable ,Natural gas,1999-00,16245
963,All,non-renewable ,Oil products,1999-00,1784
965,All,renewable,"Bagasse, wood",1999-00,685
966,All,renewable,Biogas,1999-00,449
967,All,renewable,Wind,1999-00,58
968,All,renewable,Hydro,1999-00,16720
970,All,renewable,Small-scale solar PV,1999-00,44
1056,All,non-renewable ,Black coal,2000-01,134264
1057,All,non-renewable ,Brown coal,2000-01,52223
1058,All,non-renewable ,Natural gas,2000-01,17271
1059,All,non-renewable ,Oil products,2000-01,2044
1061,All,renewable,"Bagasse, wood",2000-01,633
1062,All,renewable,Biogas,2000-01,12
1063,All,renewable,Wind,2000-01,210
1064,All,renewable,Hydro,2000-01,16933
1066,All,renewable,Small-scale solar PV,2000-01,50
1152,All,non-renewable ,Black coal,2001-02,116775
1153,All,non-renewable ,Brown coal,2001-02,56493
1154,All,non-renewable ,Natural gas,2001-02,31730
1155,All,non-renewable ,Oil products,2001-02,2446
1157,All,renewable,"Bagasse, wood",2001-02,669
1158,All,renewable,Biogas,2001-02,281
1159,All,renewable,Wind,2001-02,364
1160,All,renewable,Hydro,2001-02,16054
1162,All,renewable,Small-scale solar PV,2001-02,58
1248,All,non-renewable ,Black coal,2002-03,115297
1249,All,non-renewable ,Brown coal,2002-03,55160
1250,All,non-renewable ,Natural gas,2002-03,29375
1251,All,non-renewable ,Oil products,2002-03,1661
1252,All,non-renewable ,Other,2002-03,1 792.2
1253,All,renewable,"Bagasse, wood",2002-03,827
1254,All,renewable,Biogas,2002-03,757
1255,All,renewable,Wind,2002-03,703
1256,All,renewable,Hydro,2002-03,16490
1258,All,renewable,Small-scale solar PV,2002-03,58
1344,All,non-renewable ,Black coal,2003-04,121182
1345,All,non-renewable ,Brown coal,2003-04,55573
1346,All,non-renewable ,Natural gas,2003-04,30919
1347,All,non-renewable ,Oil products,2003-04,1389
1348,All,non-renewable ,Other,2003-04,1 817.0
1349,All,renewable,"Bagasse, wood",2003-04,1058
1350,All,renewable,Biogas,2003-04,741
1351,All,renewable,Wind,2003-04,705
1352,All,renewable,Hydro,2003-04,16331
1354,All,renewable,Small-scale solar PV,2003-04,68
1355,All,renewable,Geothermal,2003-04,1
1440,All,non-renewable ,Black coal,2004-05,127789
1441,All,non-renewable ,Brown coal,2004-05,53378
1442,All,non-renewable ,Natural gas,2004-05,23803
1443,All,non-renewable ,Oil products,2004-05,2841
1444,All,non-renewable ,Other,2004-05,434
1445,All,renewable,"Bagasse, wood",2004-05,3237
1446,All,renewable,Biogas,2004-05,593
1447,All,renewable,Wind,2004-05,885
1448,All,renewable,Hydro,2004-05,15612
1450,All,renewable,Small-scale solar PV,2004-05,78
1451,All,renewable,Geothermal,2004-05,1
1536,All,non-renewable ,Black coal,2005-06,130232
1537,All,non-renewable ,Brown coal,2005-06,54553
1538,All,non-renewable ,Natural gas,2005-06,22726
1539,All,non-renewable ,Oil products,2005-06,3058
1540,All,non-renewable ,Other,2005-06,517
1541,All,renewable,"Bagasse, wood",2005-06,3268
1542,All,renewable,Biogas,2005-06,643
1543,All,renewable,Wind,2005-06,1 713.1
1544,All,renewable,Hydro,2005-06,16029
1546,All,renewable,Small-scale solar PV,2005-06,90
1547,All,renewable,Geothermal,2005-06,1
1632,All,non-renewable ,Black coal,2006-07,132369
1633,All,non-renewable ,Brown coal,2006-07,54376
1634,All,non-renewable ,Natural gas,2006-07,31850
1635,All,non-renewable ,Oil products,2006-07,2893
1636,All,non-renewable ,Other,2006-07,479
1637,All,renewable,"Bagasse, wood",2006-07,3316
1638,All,renewable,Biogas,2006-07,637
1639,All,renewable,Wind,2006-07,2 611.1
1640,All,renewable,Hydro,2006-07,14517
1642,All,renewable,Small-scale solar PV,2006-07,105
1643,All,renewable,Geothermal,2006-07,1
1728,All,non-renewable ,Black coal,2007-08,129569
1729,All,non-renewable ,Brown coal,2007-08,54659
1730,All,non-renewable ,Natural gas,2007-08,34956
1731,All,non-renewable ,Oil products,2007-08,4058
1732,All,non-renewable ,Other,2007-08,106
1733,All,renewable,"Bagasse, wood",2007-08,3737
1734,All,renewable,Biogas,2007-08,859
1735,All,renewable,Wind,2007-08,3 093.1
1736,All,renewable,Hydro,2007-08,12057
1738,All,renewable,Small-scale solar PV,2007-08,123
1739,All,renewable,Geothermal,2007-08,1
1824,All,non-renewable ,Black coal,2008-09,127271
1825,All,non-renewable ,Brown coal,2008-09,56981
1826,All,non-renewable ,Natural gas,2008-09,37660
1827,All,non-renewable ,Oil products,2008-09,3388
1828,All,non-renewable ,Other,2008-09,3 579.9
1829,All,renewable,"Bagasse, wood",2008-09,1763
1830,All,renewable,Biogas,2008-09,1 031.8
1831,All,renewable,Wind,2008-09,3 823.8
1832,All,renewable,Hydro,2008-09,11869
1834,All,renewable,Small-scale solar PV,2008-09,156
1835,All,renewable,Geothermal,2008-09,1
1836,NSW,non-renewable ,Black coal,2008-09,67650
1838,NSW,non-renewable ,Natural gas,2008-09,2445
1839,NSW,non-renewable ,Oil products,2008-09,25
1840,NSW,non-renewable ,Other,2008-09,337
1841,NSW,renewable,"Bagasse, wood",2008-09,291
1842,NSW,renewable,Biogas,2008-09,383
1843,NSW,renewable,Wind,2008-09,41
1844,NSW,renewable,Hydro,2008-09,1497
1846,NSW,renewable,Small-scale solar PV,2008-09,36
1849,VIC,non-renewable ,Brown coal,2008-09,52094
1850,VIC,non-renewable ,Natural gas,2008-09,1452
1851,VIC,non-renewable ,Oil products,2008-09,20
1852,VIC,non-renewable ,Other,2008-09,61
1854,VIC,renewable,Biogas,2008-09,292
1855,VIC,renewable,Wind,2008-09,573
1856,VIC,renewable,Hydro,2008-09,2235
1858,VIC,renewable,Small-scale solar PV,2008-09,24
1860,QLD,non-renewable ,Black coal,2008-09,50882
1862,QLD,non-renewable ,Natural gas,2008-09,9257
1863,QLD,non-renewable ,Oil products,2008-09,711
1864,QLD,non-renewable ,Other,2008-09,692
1865,QLD,renewable,"Bagasse, wood",2008-09,1472
1866,QLD,renewable,Biogas,2008-09,116
1867,QLD,renewable,Wind,2008-09,27
1868,QLD,renewable,Hydro,2008-09,820
1870,QLD,renewable,Small-scale solar PV,2008-09,51
1871,QLD,renewable,Geothermal,2008-09,1
1872,WA,non-renewable ,Black coal,2008-09,8738
1874,WA,non-renewable ,Natural gas,2008-09,14556
1875,WA,non-renewable ,Oil products,2008-09,1464
1876,WA,non-renewable ,Other,2008-09,2 153.0
